Brand,Latitude,Longitude,Nationality,Purpose,Number,Town
Wild Atlantic Way,52.34662,-9.6879,British,Business Trips,0,Abbeydorney.Co..Kerry
Irelands Ancient East,52.38618,-9.2971,British,Business Trips,936,Abbeyfeale.Co..Limerick.
Irelands Ancient East,52.91528,-7.3479,British,Business Trips,0,Abbeyleix.Co..Laois.
Wild Atlantic Way,53.96195,-10.0153,British,Business Trips,0,Achill.Island.Co..Mayo.
Irelands Ancient East,54.03646,-8.8967,British,Business Trips,0,Aclare.Co.Sligo.
Irelands Ancient East,52.56402,-8.7912,British,Business Trips,2528,Adare.Co..Limerick.
Wild Atlantic Way,51.69712,-9.7296,British,Business Trips,0,Adrigole.Co..Cork.
Irelands Ancient East,53.38813,-9.071,British,Business Trips,0,Annadown.Co..Galway.
Wild Atlantic Way,52.15108,-10.0568,British,Business Trips,2373,Annascaul.Co..Kerry.
Irelands Ancient East,52.14059,-7.2719,British,Business Trips,0,Annestown.Co..Waterford.
Wild Atlantic Way,53.09718,-9.6563,British,Business Trips,0,Aran.Islands.Co..Galway.
Irelands Ancient East,53.67106,-7.6962,British,Business Trips,0,Ardagh.Co.Longford
Wild Atlantic Way,54.76715,-8.4093,British,Business Trips,0,Ardara.Co..Donegal.
Irelands Ancient East,53.85762,-6.54,British,Business Trips,0,Ardee.Co.Louth.
Wild Atlantic Way,52.32695,-9.7807,British,Business Trips,0,Ardfert.Co..Kerry.
Irelands Ancient East,51.95107,-7.7253,British,Business Trips,0,Ardmore.Co..Waterford.
Irelands Ancient East,54.07634,-8.1125,British,Business Trips,0,Arigna.Co..Roscommon.
Irelands Ancient East,52.79769,-6.1599,British,Business Trips,0,Arklow.Co..Wicklow.
Wild Atlantic Way,54.98744,-8.5351,British,Business Trips,0,Arranmore.Co..Donegal.
Irelands Ancient East,52.24202,-6.9514,British,Business Trips,0,Arthurstown.Co..Wexford.
Irelands Ancient East,53.51116,-6.3974,British,Business Trips,0,Ashbourne.Co..Meath.
Irelands Ancient East,53.01079,-6.1083,British,Business Trips,0,Ashford.Co..Wicklow.
Irelands Ancient East,52.59545,-8.97,British,Business Trips,0,Askeaton.Co..Limerick.
Irelands Ancient East,53.62363,-6.9156,British,Business Trips,0,Athboy.Co..Meath.
Irelands Ancient East,52.99183,-6.9857,British,Business Trips,0,Athea.Co..Kildare.
Irelands Ancient East,53.30434,-8.7502,British,Business Trips,0,Athenry.Co..Galway.
Irelands Ancient East,53.42393,-7.9407,British,Business Trips,4119,Athlone.Co..Westmeath.
Irelands Ancient East,52.99183,-6.9857,British,Business Trips,0,Athy.Co..Kildare.
Irelands Ancient East,52.85593,-6.3259,British,Business Trips,0,Aughrim.Co..Wicklow.
Irelands Ancient East,52.85796,-6.213,British,Business Trips,0,Avoca.Co..Wicklow.
Irelands Ancient East,52.70311,-6.9559,British,Business Trips,0,Bagenalstown.Co..Carlow.
Irelands Ancient East,53.9017,-8.5792,British,Business Trips,0,Bailaghardereen.Co..Roscommon.
Irelands Ancient East,53.91561,-6.9693,British,Business Trips,0,Bailieborough.Co..Cavan.
Irelands Ancient East,53.60832,-6.1821,British,Business Trips,0,Balbriggan.Co..Dublin.
Dublin - Breath of Fresh Air,53.39867,-6.1273,British,Business Trips,1233,Baldoyle.Co..Dublin.
Irelands Ancient East,53.83753,-8.3794,British,Business Trips,0,Ballangare.Co..Roscommon.
Irelands Ancient East,54.11495,-9.1551,British,Business Trips,0,Ballina.Co..Mayo.
Irelands Ancient East,53.32876,-8.2269,British,Business Trips,851,Ballinasloe.Co..Galway.
Irelands Ancient East,53.02514,-8.2208,British,Business Trips,0,Ballinderry.Co..Tipperary.
Irelands Ancient East,53.66926,-8.9567,British,Business Trips,0,Ballindine.Co..Mayo.
Irelands Ancient East,52.58766,-7.5471,British,Business Trips,0,Ballingarry.Co..Tipperary.
Irelands Ancient East,53.53295,-6.9681,British,Business Trips,0,Ballinivor.Co..Meath.
Irelands Ancient East,53.74189,-8.6336,British,Business Trips,0,Ballinlough.Co..Roscommon.
Irelands Ancient East,53.62373,-9.2211,British,Business Trips,0,Ballinrobe.Co..Mayo.
Wild Atlantic Way,51.8244,-10.273,British,Business Trips,0,Ballinskelligs.Co..Kerry
Dublin - Breath of Fresh Air,53.27673,-6.2554,British,Business Trips,0,Ballinteer.Co..Dublin.
Irelands Ancient East,54.20065,-8.365,British,Business Trips,0,Ballintogher.Co..Sligo.
Irelands Ancient East,54.57885,-8.1243,British,Business Trips,0,Ballintrae.Co..Donegal.
Irelands Ancient East,53.71809,-8.4101,British,Business Trips,0,Ballintubber.Co..Roscommon.
Irelands Ancient East,54.21085,-8.5068,British,Business Trips,0,Ballisodare.Co..Sligo.
Irelands Ancient East,54.12946,-6.9028,British,Business Trips,0,Ballybay.Co..Monaghan.
Irelands Ancient East,54.79682,-7.7875,British,Business Trips,0,Ballybofey.Co..Donegal.
Irelands Ancient East,53.11539,-7.154,British,Business Trips,0,Ballybrittas.Co..Laois.
Wild Atlantic Way,52.51108,-9.671,British,Business Trips,0,Ballybunion.Co..Kerry.
Wild Atlantic Way,54.27967,-9.3725,British,Business Trips,0,Ballycastle.Co..Mayo.
Irelands Ancient East,54.11622,-7.584,British,Business Trips,0,Ballyconnell.Co..Cavan.
Irelands Ancient East,51.82992,-8.0098,British,Business Trips,0,Ballycotton.Co..Cork.
Irelands Ancient East,54.59066,-8.4221,British,Business Trips,0,Ballycory.Co..Donegal.
Irelands Ancient East,53.32642,-7.6861,British,Business Trips,0,Ballycumber.Co..Offaly.
Irelands Ancient East,52.06144,-9.135,British,Business Trips,0,Ballydally.Co..Cork.
Wild Atlantic Way,51.56301,-9.4554,British,Business Trips,0,Ballydehob.Co..Cork.
Wild Atlantic Way,52.45455,-9.6629,British,Business Trips,0,Ballyduff.Co..Kerry.
Irelands Ancient East,52.1478,-8.0513,British,Business Trips,0,Ballyduff.Co..Waterford.
Irelands Ancient East,53.79234,-9.2178,British,Business Trips,0,Ballyfarna.Co..Mayo.
Wild Atlantic Way,52.163,-10.4229,British,Business Trips,0,Ballyferriter.Co..Kerry.
Irelands Ancient East,53.52256,-8.3257,British,Business Trips,0,Ballygar.Co..Galway.
Irelands Ancient East,52.55988,-9.1905,British,Business Trips,0,Ballyhahill.Co..Limerick.
Irelands Ancient East,53.76284,-8.7646,British,Business Trips,0,Ballyhaunis.Co..Mayo.
Wild Atlantic Way,52.39411,-9.8387,British,Business Trips,0,Ballyheigue.Co..Kerry.
Irelands Ancient East,53.86387,-7.2065,British,Business Trips,0,Ballyjamesduff.Co..Cavan.
Irelands Ancient East,52.37107,-8.346,British,Business Trips,0,Ballylanders.Co..Limerick.
Irelands Ancient East,51.72154,-9.4378,British,Business Trips,0,Ballylickey.Co..Cork.
Wild Atlantic Way,55.27844,-7.3942,British,Business Trips,0,Ballyliffen.Co..Donegal.
Wild Atlantic Way,52.548,-9.4788,British,Business Trips,0,Ballylongford.Co..Kerry.
Irelands Ancient East,53.56436,-7.7646,British,Business Trips,0,Ballymahon.Co..Longford.
Irelands Ancient East,53.69403,-8.4618,British,Business Trips,0,Ballymoe.Co..Galway.
Irelands Ancient East,52.68246,-6.2212,British,Business Trips,0,Ballymoney.Co..Wexford.
Wild Atlantic Way,52.27455,-10.1621,British,Business Trips,0,Ballymore.Co..Kerry.
Irelands Ancient East,53.49091,-7.6797,British,Business Trips,0,Ballymore.Co..Westmeath.
Irelands Ancient East,53.13301,-6.6149,British,Business Trips,0,Ballymoreustace.Co..Kildare.
Irelands Ancient East,54.08983,-8.5172,British,Business Trips,0,Ballymote.Co.Sligo.
Wild Atlantic Way,51.73564,-8.9508,British,Business Trips,0,Ballyneen.Co..Cork.
Wild Atlantic Way,52.25798,-10.1628,British,Business Trips,0,Ballyquin.Co..Kerry.
Irelands Ancient East,52.78867,-7.3338,British,Business Trips,0,Ballyraggart.Co.Kilkenny.
Irelands Ancient East,54.50299,-8.192,British,Business Trips,0,Ballyshannon.Co..Donegal.
Irelands Ancient East,52.65558,-8.572,British,Business Trips,0,Ballysheedy.Co..Limerick.
Wild Atlantic Way,53.11553,-9.1494,British,Business Trips,0,Ballyvaughan.Co..Clare.
Irelands Ancient East,53.62462,-6.4793,British,Business Trips,0,Balrath.Co..Meath.
Wild Atlantic Way,51.48433,-9.3661,British,Business Trips,0,Baltimore.Co..Cork.
Irelands Ancient East,52.94078,-6.711,British,Business Trips,0,Baltinglass.Co..Wicklow.
Irelands Ancient East,53.18646,-7.9954,British,Business Trips,997,Banagher.Co..Offaly.
Wild Atlantic Way,51.74612,-8.7318,British,Business Trips,0,Bandon.Co..Cork.
Irelands Ancient East,52.12832,-8.9073,British,Business Trips,0,Banteer.Co..Cork.
Irelands Ancient East,51.68089,-9.4486,British,Business Trips,0,Bantry.Co..Cork.
Wild Atlantic Way,51.4698,-9.7812,British,Business Trips,0,Barleycove.Co..Cork.
Irelands Ancient East,54.12125,-7.6768,British,Business Trips,0,Bawnboy.Co..Cavan.
Irelands Ancient East,53.42426,-7.9656,British,Business Trips,0,Baylough.Co..Westmeath.
Wild Atlantic Way,51.7369,-8.4816,British,Business Trips,0,Belgooly.Co..Cork.
Wild Atlantic Way,54.2239,-9.9876,British,Business Trips,0,Belmullet.Co..Mayo.
Irelands Ancient East,54.10191,-7.4497,British,Business Trips,0,Belturbet.Co..Cavan.
Wild Atlantic Way,51.63324,-9.8669,British,Business Trips,0,Bere.Island.Co..Cork.
Irelands Ancient East,53.09801,-7.9097,British,Business Trips,0,Birr.Co..Offaly.
Irelands Ancient East,54.29206,-7.8751,British,Business Trips,0,Blacklion.Co..Cavan.
Dublin - Breath of Fresh Air,53.30079,-6.1771,British,Business Trips,0,Blackrock.Co..Dublin.
Irelands Ancient East,52.44735,-6.3469,British,Business Trips,0,Blackwater.Co..Wexford.
Irelands Ancient East,51.93436,-8.567,British,Business Trips,0,Blarney.Co..Cork.
Irelands Ancient East,53.16966,-6.5341,British,Business Trips,0,Blessington.Co..Wicklow.
Dublin - Breath of Fresh Air,53.30882,-6.1967,British,Business Trips,0,Booterstown.Co..Dublin.
Irelands Ancient East,52.93918,-7.6311,British,Business Trips,0,Borris-in-Ossary.Co..Laois.
Irelands Ancient East,52.99637,-8.1273,British,Business Trips,0,Borrisokane.Co.Tipperary.
Irelands Ancient East,53.97221,-8.2973,British,Business Trips,0,Boyle.Co..Roscommon.
Dublin - Breath of Fresh Air,53.2009,-6.1111,British,Business Trips,0,Bray.Co..Wicklow.
Irelands Ancient East,55.04224,-7.3822,British,Business Trips,0,Bridge.End.Co..Donegal.
Irelands Ancient East,52.88536,-6.062,British,Business Trips,0,Brittas.Bay.Co..Wicklow.
Irelands Ancient East,53.2279,-6.4476,British,Business Trips,0,Brittas.Co..Dublin.
Irelands Ancient East,52.80603,-8.6329,British,Business Trips,0,Broadford.Co..Clare.
Irelands Ancient East,52.21909,-6.3872,British,Business Trips,0,Broadway.Co..Wexford.
Irelands Ancient East,52.31271,-9.2707,British,Business Trips,0,Brosna.Co..Kerry.
Irelands Ancient East,52.47849,-8.5423,British,Business Trips,0,Bruff.Co..Limerick.
Irelands Ancient East,52.42429,-8.662,British,Business Trips,0,Bruree.Co..Limerick.
Irelands Ancient East,52.65509,-6.6522,British,Business Trips,0,Bunclody.Co..Wexford.
Irelands Ancient East,55.13465,-7.4534,British,Business Trips,0,Buncrana.Co..Donegal.
Irelands Ancient East,54.47914,-8.2779,British,Business Trips,0,Bundoran.Co..Donegal.
Irelands Ancient East,52.14055,-7.3652,British,Business Trips,0,Bunmahon.Co..Waterford.
Irelands Ancient East,52.69887,-8.8111,British,Business Trips,0,Bunratty.Co..Clare.
Irelands Ancient East,53.1486,-9.0741,British,Business Trips,0,Burren.Co.Clare
Irelands Ancient East,52.23213,-8.6701,British,Business Trips,0,Buttevant.Co..Cork.
Irelands Ancient East,54.04521,-7.377,British,Business Trips,0,Buttlersbridge.Co..Cavan.
Dublin - Breath of Fresh Air,53.2637,-6.1663,British,Business Trips,0,Cabinteely.Co..Dublin.
Wild Atlantic Way,51.76901,-10.0995,British,Business Trips,0,Caherdaniel.Co..Kerry.
Irelands Ancient East,52.37453,-7.9252,British,Business Trips,0,Cahir.Co..Tipperary.
Wild Atlantic Way,51.9478,-10.2209,British,Business Trips,0,Cahirciveen.Co..Kerry.
Irelands Ancient East,52.54482,-7.392,British,Business Trips,0,Callan.Co..Kilkenny.
Irelands Ancient East,52.61568,-6.4263,British,Business Trips,0,Camolin.Co..Wexford.
Irelands Ancient East,52.14643,-7.8516,British,Business Trips,1233,Cappaquinn.Co..Waterford.
Irelands Ancient East,54.04267,-6.187,British,Business Trips,1233,Carlingford.Co..Louth.
Irelands Ancient East,52.83651,-6.9341,British,Business Trips,1933,Carlow.Co..Carlow.
Wild Atlantic Way,53.32422,-9.8361,British,Business Trips,0,Carna.Co..Galway.
Irelands Ancient East,52.70967,-6.4992,British,Business Trips,0,Carnew.Co..Wicklow.
Wild Atlantic Way,53.26411,-9.5983,British,Business Trips,0,Carraroe.Co..Galway.
Wild Atlantic Way,54.65772,-8.6327,British,Business Trips,0,Carrick.Co..Donegal.
Irelands Ancient East,53.94519,-8.0855,British,Business Trips,0,Carrick-on-Shannon.Co..Leitrim.
Irelands Ancient East,52.34765,-7.419,British,Business Trips,0,Carrick-on-Suir.Co..Tipperary.
Irelands Ancient East,53.97798,-6.7188,British,Business Trips,0,Carrickmacross.Co..Monaghan.
Dublin - Breath of Fresh Air,53.2472,-6.1829,British,Business Trips,0,Carrickmines.Co..Dublin.
Irelands Ancient East,51.90398,-8.8652,British,Business Trips,0,Carrigadroghid.Co..Cork.
Wild Atlantic Way,52.60479,-9.7097,British,Business Trips,0,Carrigaholt.Co..Clare.
Wild Atlantic Way,51.81791,-8.3915,British,Business Trips,3280,Carrigaline.Co..Cork.
Irelands Ancient East,53.97694,-7.6443,British,Business Trips,0,Carrigallen.Co..Leitrim.
Wild Atlantic Way,51.91055,-8.26,British,Business Trips,0,Carrigtwohill.Co..Cork.
Irelands Ancient East,53.25976,-9.1013,British,Business Trips,0,Cashel.Bay.Co..Galway.
Irelands Ancient East,52.51676,-7.8877,British,Business Trips,0,Cashel.Co..Tipperary.
Irelands Ancient East,53.855,-9.2879,British,Business Trips,1453,Castlebar.Co..Mayo.
Irelands Ancient East,53.89786,-6.3894,British,Business Trips,0,Castlebellingham.Co..Louth.
Irelands Ancient East,54.12066,-6.7397,British,Business Trips,0,Castleblaney.Co..Monaghan.
Irelands Ancient East,53.43055,-8.4793,British,Business Trips,0,Castleblarney.Co..Galway.
Irelands Ancient East,52.38243,-6.4503,British,Business Trips,0,Castlebridge.Co..Wexford.
Irelands Ancient East,52.80662,-7.216,British,Business Trips,0,Castlecomer.Co..Kilkenny.
Irelands Ancient East,52.71566,-8.4932,British,Business Trips,0,Castleconnell.Co..Limerick.
Wild Atlantic Way,51.77912,-10.0367,British,Business Trips,0,Castlecove.Co..Kerry.
Irelands Ancient East,52.90896,-6.8474,British,Business Trips,0,Castledermot.Co..Kildare.
Wild Atlantic Way,52.25347,-10.0207,British,Business Trips,0,Castlegregory.Co..Kerry.
Irelands Ancient East,52.2329,-9.4601,British,Business Trips,0,Castleisland.Co..Kerry.
Dublin - Breath of Fresh Air,53.37365,-6.3584,British,Business Trips,0,Castleknock.Co..Dublin.
Irelands Ancient East,52.08857,-8.2337,British,Business Trips,0,Castlelyons.Co..Cork.
Irelands Ancient East,52.16843,-9.7015,British,Business Trips,0,Castlemaine.Co..Kerry.
Irelands Ancient East,51.91195,-8.0535,British,Business Trips,0,Castlemartyr.Co..Cork.
Irelands Ancient East,53.68007,-7.2965,British,Business Trips,0,Castlepollard.Co..Westmeath.
Irelands Ancient East,53.76866,-8.4925,British,Business Trips,1453,Castlerea.Co..Roscommon.
Wild Atlantic Way,51.6515,-9.9103,British,Business Trips,0,Castletownbere.Co..Cork.
Irelands Ancient East,52.17311,-8.4634,British,Business Trips,0,Castletownroche.Co..Cork.
Wild Atlantic Way,52.41442,-9.7331,British,Business Trips,0,Causeway.Co..Kerry.
Irelands Ancient East,53.98972,-7.3633,British,Business Trips,997,Cavan.Co..Cavan.
Irelands Ancient East,53.3399,-6.5385,British,Business Trips,0,Celbridge.Co..Kildare.
Dublin - Breath of Fresh Air,53.34784,-6.3462,British,Business Trips,0,Chapelizod.Co..Dublin.
Irelands Ancient East,53.96403,-8.7926,British,Business Trips,0,Charlestown.Co..Mayo.
Irelands Ancient East,52.35491,-8.6832,British,Business Trips,0,Charleville.Co..Cork.
Irelands Ancient East,54.98932,-7.8915,British,Business Trips,0,Churchill.Co..Donegal.
Irelands Ancient East,52.13464,-6.9259,British,Business Trips,0,Churchtown.Co..Wexford.
Irelands Ancient East,53.34251,-7.6135,British,Business Trips,0,Clara.Co..Offaly.
Wild Atlantic Way,53.80448,-9.9951,British,Business Trips,0,Clare.Island.Co..Mayo.
Irelands Ancient East,52.81474,-8.9643,British,Business Trips,0,Clarecastle.Co..Clare.
Irelands Ancient East,53.72388,-9.0017,British,Business Trips,0,Claremorris.Co..Mayo.
Wild Atlantic Way,51.4388,-9.4923,British,Business Trips,0,Clear.Island.Co..Mayo.
Wild Atlantic Way,53.48899,-10.0179,British,Business Trips,0,Clifden.Co..Galway.
Irelands Ancient East,,,British,Business Trips,0,Clifforney.Co..Offaly.
Wild Atlantic Way,52.23092,-10.2193,British,Business Trips,0,Cloghane.Co..Kerry.
Irelands Ancient East,52.27708,-7.9951,British,Business Trips,0,Clogheen.Co..Tipperary.
Wild Atlantic Way,51.62151,-8.8887,British,Business Trips,0,Clonakilty.Co..Cork.
Dublin - Breath of Fresh Air,53.32174,-6.3952,British,Business Trips,0,Clondalkin.Co..Dublin.
Irelands Ancient East,,,British,Business Trips,0,Clonee.Co..Waterford.
Irelands Ancient East,54.17968,-7.2307,British,Business Trips,0,Clones.Co..Monaghan.
Irelands Ancient East,52.35582,-7.6903,British,Business Trips,997,Clonmel.Co..Tipperary.
Irelands Ancient East,53.66407,-7.0184,British,Business Trips,0,Clonmellan.Co..Westmeath.
Dublin - Breath of Fresh Air,53.36602,-6.2045,British,Business Trips,0,Clontarf.Co..Dublin.
Irelands Ancient East,54.20544,-6.8415,British,Business Trips,0,Clontibret.Co..Monaghan.
Irelands Ancient East,52.21989,-6.7212,British,Business Trips,0,Clonystown.Co..Wexford.
Wild Atlantic Way,54.83826,-8.411,British,Business Trips,0,Clooney.Co..Donegal.
Irelands Ancient East,,,British,Business Trips,0,Coalisland.Co..Kerry.
Wild Atlantic Way,51.85034,-8.2943,British,Business Trips,0,Cobh.Co..Cork.
Irelands Ancient East,53.64747,-7.2122,British,Business Trips,0,Collinstown.Co..Westmeath.
Irelands Ancient East,54.18033,-8.4988,British,Business Trips,0,Colooney.Co.Sligo.
Irelands Ancient East,53.54168,-9.2835,British,Business Trips,0,Cong.Co..Mayo.
Wild Atlantic Way,53.59477,-9.8448,British,Business Trips,997,Connemara.Co.Galway.
Irelands Ancient East,,,British,Business Trips,0,Cookstown.Co..Clare.
Irelands Ancient East,54.0725,-7.0824,British,Business Trips,0,Cootehill.Co..Cavan.
Wild Atlantic Way,51.89689,-8.4863,British,Business Trips,61894,Cork.City.Co..Cork.
Irelands Ancient East,52.91334,-9.126,British,Business Trips,0,Corofin.Co..Clare.
Wild Atlantic Way,53.28794,-9.55,British,Business Trips,0,Costelloe.Co..Galway.
Irelands Ancient East,54.71928,-6.2082,British,Business Trips,0,County.Antrim.
Irelands Ancient East,54.35007,-6.6523,British,Business Trips,0,County.Armagh
Irelands Ancient East,52.74558,-7.0266,British,Business Trips,0,Carlow.(Rest.of County).
Irelands Ancient East,53.84926,-7.2557,British,Business Trips,0,Cavan.(Rest.of County).
Irelands Ancient East,52.8537,-8.9975,British,Business Trips,3021,Clare.(Rest.of County).
Wild Atlantic Way,51.85037,-8.3014,British,Business Trips,828,Cork.(Rest.of County).
Irelands Ancient East,54.96908,-7.1958,British,Business Trips,0,County.Derry
Irelands Ancient East,54.4759,-8.2981,British,Business Trips,1453,Donegal.(Rest.of County).
Irelands Ancient East,54.3277,-5.7158,British,Business Trips,0,County.Down
Dublin - Breath of Fresh Air,53.25563,-6.127,British,Business Trips,44737,Dublin.(Rest.of).
Irelands Ancient East,54.34383,-7.6319,British,Business Trips,0,County.Fermanagh
Irelands Ancient East,53.06422,-8.8151,British,Business Trips,3464,Galway.(Rest.of County).
Irelands Ancient East,,,British,Business Trips,0,Kerry.(Rest.of).
Irelands Ancient East,53.16913,-6.6987,British,Business Trips,2047,Kildare.County.(Rest.of).
Irelands Ancient East,52.26246,-7.0832,British,Business Trips,0,Kilkenny.County. (Rest.of).
Irelands Ancient East,52.86094,-6.8803,British,Business Trips,0,Laois.County.(Rest.of).
Irelands Ancient East,54.4759,-8.2981,British,Business Trips,0,Leitrim.County.(Rest.of).
Irelands Ancient East,52.56396,-8.7934,British,Business Trips,3587,Limerick.Co..(Rest.of).
Irelands Ancient East,53.84164,-7.7043,British,Business Trips,0,Longford.Co..(Rest.of).
Irelands Ancient East,53.82734,-6.5333,British,Business Trips,1233,Louth.Co..(Rest.of).
Irelands Ancient East,53.66949,-9.2029,British,Business Trips,0,Mayo.Co..(Rest.of).
Irelands Ancient East,53.62974,-6.2624,British,Business Trips,997,Meath.Co..(Rest.of).
Irelands Ancient East,53.97969,-6.7281,British,Business Trips,0,Monaghan.Co..(Rest.of).
Irelands Ancient East,53.22646,-7.8829,British,Business Trips,0,Offaly.Co..(Rest.of).
Irelands Ancient East,53.77441,-8.2409,British,Business Trips,0,Roscommon.Co..(Rest.of).
Irelands Ancient East,54.4759,-8.2981,British,Business Trips,0,Sligo.(Rest.of).
Irelands Ancient East,52.47379,-8.1619,British,Business Trips,0,Tipperary.(Rest.Of).North.Riding.
Irelands Ancient East,,,British,Business Trips,0,Tipperary.(Rest.Of).South.Riding.
Irelands Ancient East,,,British,Business Trips,0,County.Tyrone
Irelands Ancient East,52.12929,-8.0042,British,Business Trips,0,Waterford.County.(Rest.of).
Irelands Ancient East,53.50746,-7.1465,British,Business Trips,0,Westmeath.County.(Rest.of).
Irelands Ancient East,52.71736,-6.3506,British,Business Trips,0,Wexford.County.(Rest.of).
Irelands Ancient East,52.86208,-6.2961,British,Business Trips,1233,Wicklow.County.(Rest.of).
Wild Atlantic Way,51.63386,-8.7059,British,Business Trips,0,Courtmacsherry.Co.Cork.
Irelands Ancient East,52.64486,-6.2286,British,Business Trips,0,Courtown.Co..Wexford.
Irelands Ancient East,52.69968,-8.7666,British,Business Trips,0,Cratloe.Co..Clare.
Wild Atlantic Way,52.74633,-9.4301,British,Business Trips,0,Cree.Co..Clare.
Wild Atlantic Way,55.12055,-7.9139,British,Business Trips,0,Cresslough.Co..Donegal.
Wild Atlantic Way,51.46696,-9.7282,British,Business Trips,0,Crookhaven.Co..Cork.
Irelands Ancient East,52.51896,-8.7182,British,Business Trips,0,Croom.Co..Limerick.
Wild Atlantic Way,52.59862,-9.7747,British,Business Trips,0,Cross.Co..Clare.
Wild Atlantic Way,51.80347,-8.3016,British,Business Trips,2590,Crosshaven.Co..Cork.
Irelands Ancient East,53.71412,-7.0205,British,Business Trips,0,Crosskiel.Co..Meath.
Wild Atlantic Way,54.10034,-9.3158,British,Business Trips,0,Crossmolina.Co..Mayo.
Irelands Ancient East,52.93865,-8.8968,British,Business Trips,0,Crusheen.Co..Clare.
Wild Atlantic Way,55.28594,-7.1651,British,Business Trips,0,Culdaff.Co..Donegal.
Irelands Ancient East,52.11186,-9.1211,British,Business Trips,0,Cullen.Co..Cork.
Irelands Ancient East,54.0887,-6.2619,British,Business Trips,0,Cullen.Co..Louth.
Irelands Ancient East,52.39318,-6.3921,British,Business Trips,0,Curracloe.Co..Wexford.
Irelands Ancient East,53.14203,-6.8286,British,Business Trips,0,Curragh.Co..Kildare.
Irelands Ancient East,53.65222,-8.6629,British,Business Trips,0,Curragh.West.Co..Galway.
Dublin - Breath of Fresh Air,53.27791,-6.1058,British,Business Trips,0,Dalkey.Co..Dublin.
Dublin - Breath of Fresh Air,53.13261,-6.0923,British,Business Trips,0,Delgany.Co..Wicklow.
Irelands Ancient East,53.61257,-7.0917,British,Business Trips,0,Delvin.Co..Westmeath.
Wild Atlantic Way,51.7654,-10.1209,British,Business Trips,0,Derrynane.Co..Kerry.
Wild Atlantic Way,52.13876,-10.2705,British,Business Trips,0,Dingle.Co.Kerry.
Dublin - Breath of Fresh Air,53.48534,-6.1504,British,Business Trips,0,Donabate.Co..Dublin.
Irelands Ancient East,54.6542,-8.1105,British,Business Trips,0,Donegal.Town.Co..Donegal.
Irelands Ancient East,52.21517,-8.586,British,Business Trips,0,Doneraile.Co..Cork.
Irelands Ancient East,,,British,Business Trips,0,Doohoma.Co..Clare.
Wild Atlantic Way,53.01744,-9.373,British,Business Trips,0,Doolin.Co..Clare.
Wild Atlantic Way,52.73085,-9.526,British,Business Trips,0,Doonbeg.Co..Clare.
Wild Atlantic Way,52.93083,-9.3439,British,Business Trips,0,Downings.Co..Clare.
Irelands Ancient East,54.19388,-8.0252,British,Business Trips,0,Dowra.Co..Cavan.
Wild Atlantic Way,51.65994,-9.2612,British,Business Trips,0,Drimoleague.Co..Cork.
Irelands Ancient East,51.91438,-8.7421,British,Business Trips,0,Dripsey.Co..Cork.
Irelands Ancient East,53.71786,-6.3561,British,Business Trips,1233,Drogheda.Co..Louth.
Irelands Ancient East,54.23067,-8.3026,British,Business Trips,0,Dromahair.Co..Leitrim.
Irelands Ancient East,52.7828,-8.9038,British,Business Trips,0,Dromoland.Co..Clare.
Irelands Ancient East,54.10388,-7.1434,British,Business Trips,0,Drum.Co..Monaghan.
Irelands Ancient East,54.32705,-8.4976,British,Business Trips,0,Drumcliffe.Co..Sligo.
Irelands Ancient East,53.8516,-6.6563,British,Business Trips,0,Drumconrath.Co..Meath.
Irelands Ancient East,54.16941,-8.1427,British,Business Trips,0,Drumkeerin.Co..Leitrim.
Irelands Ancient East,54.0478,-8.04,British,Business Trips,0,Drumshanbo.Co..Leitrim.
Irelands Ancient East,53.92692,-8.0079,British,Business Trips,0,Drumsna.Co..Limerick.
Irelands Ancient East,52.41479,-9.3902,British,Business Trips,0,Duagh.Co..Kerry.
Dublin - Breath of Fresh Air,53.34981,-6.2603,British,Business Trips,319753,Dublin.City.Co..Dublin.
Dublin - Breath of Fresh Air,53.2944,-6.1339,British,Business Trips,1233,Dun Laoghaire.Co..Dublin.
Irelands Ancient East,53.65475,-6.4222,British,Business Trips,0,Duleek.Co..Meath.
Irelands Ancient East,53.41927,-6.4759,British,Business Trips,0,Dunboyne.Co..Meath.
Irelands Ancient East,52.22854,-6.6551,British,Business Trips,0,Duncormack.Co..Wexford.
Irelands Ancient East,53.99795,-6.406,British,Business Trips,6404,Dundalk.Co..Louth
Irelands Ancient East,,,British,Business Trips,0,Dundrum.Co..Clare.
Irelands Ancient East,52.55952,-8.0432,British,Business Trips,0,Dundrum.Co..Tipperary.
Wild Atlantic Way,55.18347,-7.9694,British,Business Trips,730,Dunfanaghy.Co..Donegal.
Irelands Ancient East,52.09368,-7.6204,British,Business Trips,2373,Dungarvan.Co..Waterford.
Wild Atlantic Way,54.95029,-8.3574,British,Business Trips,0,Dungloe.Co..Donegal.
Irelands Ancient East,53.05788,-6.7016,British,Business Trips,0,Dunlavin.Co..Wicklow.
Irelands Ancient East,53.83105,-6.3945,British,Business Trips,0,Dunleer.Co..Louth.
Wild Atlantic Way,51.72226,-9.1118,British,Business Trips,0,Dunmanway.Co..Cork.
Irelands Ancient East,52.15277,-6.9948,British,Business Trips,0,Dunmore.East.Co..Waterford.
Irelands Ancient East,52.05467,-9.5103,British,Business Trips,0,Dunmore.Co..Kerry.
